index,start_expression,halide_result,halide_time
5330,( min ( min ( min ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ( - ( * v2 2 ) 1 ) ) ( - v3 7 ) ) v4 ),( min ( min ( min ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ( - ( * v2 2 ) 1 ) ) ( - v3 7 ) ) v4 ),12
5331,( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / v1 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( / ( + 7 ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) ) 2 ) ),( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / v1 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ),27
5332,( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( + ( * ( + 0 ( min ( - v0 63 ) v1 ) ) 2 ) 2 ) ),( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ),15
5333,( min ( - ( * v0 2 ) 1 ) ( + ( * v0 2 ) 2 ) ),( - ( * v0 2 ) 1 ),8
5334,( * ( - ( / ( + v0 v1 ) 2 ) v2 ) 129 ),( * ( - ( / ( + v1 v0 ) 2 ) v2 ) 129 ),7
5335,( max ( max ( min ( - ( + v0 v1 ) 1 ) 2 ) v1 ) ( max ( min ( - ( + v0 v1 ) 1 ) 0 ) v1 ) ),( max ( - ( min ( + v0 v1 ) 3 ) 1 ) v1 ),13
5336,( + ( min ( - v0 127 ) v1 ) 127 ),( min ( + v1 127 ) v0 ),4
5337,( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * v2 2 ) 2 ) ) ( / ( - ( + v0 v1 ) 1 ) 2 ) ),( max ( / ( + v0 v1 ) 2 ) ( + ( * v2 2 ) 2 ) ),9
5338,( min ( + ( * 0 64 ) v0 ) ( - v1 63 ) ),( min ( - v1 63 ) v0 ),16
5339,( * ( - ( / ( + ( + v0 v1 ) 1 ) 2 ) v2 ) ( + v3 8 ) ),( * ( - ( / ( + ( + v1 v0 ) 1 ) 2 ) v2 ) ( + v3 8 ) ),5
5340,( + ( / ( - ( + ( min v0 64 ) v1 ) 64 ) 2 ) 32 ),( / ( + ( min v0 64 ) v1 ) 2 ),29
5341,( min ( + ( * v0 2 ) 2 ) ( - ( * v0 2 ) 1 ) ),( - ( * v0 2 ) 1 ),9
5342,( + ( - ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) ( min ( min ( - ( min v0 v2 ) 7 ) v1 ) v3 ) ) 1 ),( + ( - ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) ( min ( min ( - ( min v0 v2 ) 7 ) v1 ) v3 ) ) 1 ),13
5343,( min ( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( - ( + ( min v4 256 ) v5 ) 256 ) ) ( + ( + ( * 0 16 ) 0 ) ( - ( + ( min v4 256 ) v5 ) 256 ) ) ),( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( - ( + ( min v4 256 ) v5 ) 256 ) ),12
5344,( / ( + ( - ( + ( min v0 256 ) v1 ) 256 ) 258 ) 4 ),( / ( + ( + ( min v0 256 ) v1 ) 2 ) 4 ),6
5345,( min ( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ) v2 ),( min ( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ) v2 ),27
5346,( min ( max ( min ( min ( - v0 8 ) v1 ) ( - ( + v2 v3 ) 1 ) ) v3 ) ( max ( min ( + ( + ( * 0 16 ) 0 ) ( - ( + ( min v4 256 ) v5 ) 256 ) ) ( - ( + v2 v3 ) 1 ) ) v3 ) ),( max ( min ( min ( min ( - v0 8 ) v1 ) ( - ( + v2 v3 ) 1 ) ) ( - ( min ( + ( min v4 256 ) v5 ) ( + ( + v2 v3 ) 255 ) ) 256 ) ) v3 ),26
5347,( + ( / ( - v0 v1 ) 8 ) 1 ),( + ( / ( - v0 v1 ) 8 ) 1 ),6
5348,( / ( - ( + ( min v0 64 ) v1 ) 64 ) 8 ),( - ( / ( + ( min v0 64 ) v1 ) 8 ) 8 ),10
5349,( min ( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / v1 128 ) ) v2 ),( min ( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / v1 128 ) ) v2 ),9
5350,( / ( + ( % ( + v0 v1 ) 4 ) 262 ) 4 ),( / ( + ( % ( + v0 v1 ) 4 ) 262 ) 4 ),17
5351,( min ( min ( / v0 2 ) v1 ) ( - ( * v2 2 ) 1 ) ),( min ( min ( / v0 2 ) v1 ) ( - ( * v2 2 ) 1 ) ),5
5352,( + ( - ( max ( max ( max ( max ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( / ( - ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 1 ) 2 ) ) ( / ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( min ( / ( - ( + ( min v0 8 ) v1 ) 7 ) 2 ) ( - ( min ( min ( / ( + ( min v0 14 ) v1 ) 2 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 6 ) ) ( + ( / ( + ( min v0 8 ) v1 ) 2 ) 3 ) ) 7 ) ) ( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ) ) ( - v4 7 ) ) v5 ) ) 1 ),( + ( - ( max ( max ( max ( max ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( / ( - ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 1 ) 2 ) ) ( / ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( min ( / ( - ( + ( min v0 8 ) v1 ) 7 ) 2 ) ( - ( min ( min ( / ( + ( min v0 14 ) v1 ) 2 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 6 ) ) ( + ( / ( + ( min v0 8 ) v1 ) 2 ) 3 ) ) 7 ) ) ( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ) ) ( - v4 7 ) ) v5 ) ) 1 ),79
5353,( + 7 ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / v1 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 8 ) ) ) ),( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / v1 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 8 ) ) ) 7 ),15
5354,( max ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / ( / ( + ( + v0 v1 ) 62 ) 64 ) 2 ) ),( / ( + ( + v0 v1 ) 126 ) 128 ),12
5355,( - ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 9 ),( - ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 9 ),8
5356,( + ( - ( / ( + ( + v0 v1 ) 6 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ),( + ( - ( / ( + ( + v0 v1 ) 6 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ),8
5357,( min ( + ( / v0 64 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 62 ) 64 ) ( / v0 64 ) ) 8 ) 8 ) ) ( / ( - ( + v1 v0 ) 386 ) 64 ) ),( min ( / ( - ( + v1 v0 ) 386 ) 64 ) ( + ( / v0 64 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 62 ) 64 ) ( / v0 64 ) ) 8 ) 8 ) ) ),9
5358,( * ( - ( / ( + v0 v1 ) 2 ) v2 ) ( + v3 1 ) ),( * ( - ( / ( + v1 v0 ) 2 ) v2 ) ( + v3 1 ) ),8
5359,( + ( / ( - ( + ( min v0 256 ) v1 ) 256 ) 2 ) 128 ),( / ( + ( min v0 256 ) v1 ) 2 ),7
5360,( + ( - ( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 7 ) 2 ) ( + ( max ( * v2 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v3 v4 ) 8 ) 8 ) v4 ) 7 ) v3 ) ) ( min ( min ( min ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ( - ( * v5 2 ) 1 ) ) ( - v3 7 ) ) v4 ) ) 1 ),( + ( - ( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 7 ) 2 ) ( + ( max ( * v2 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v3 v4 ) 8 ) 8 ) v4 ) 7 ) v3 ) ) ( min ( min ( min ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ( - ( * v5 2 ) 1 ) ) ( - v3 7 ) ) v4 ) ) 1 ),30
5361,( - ( max ( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) v2 ) 2 ) 3 ) ( + v3 v4 ) ) v5 ) ( min ( - ( min ( + ( * ( min ( min ( - v0 63 ) v1 ) v6 ) 2 ) 255 ) ( + ( min v3 256 ) v4 ) ) 256 ) v7 ) ),( - ( max ( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) v2 ) 2 ) 3 ) ( + v3 v4 ) ) v5 ) ( min ( - ( min ( + ( * ( min ( min ( - v0 63 ) v1 ) v6 ) 2 ) 255 ) ( + ( min v3 256 ) v4 ) ) 256 ) v7 ) ),39
5362,( - ( / v0 32 ) ( / ( - ( + ( min v1 98 ) v0 ) 98 ) 32 ) ),( - ( / v0 32 ) ( / ( - ( + ( min v1 98 ) v0 ) 98 ) 32 ) ),14
5363,( || ( <= ( + v0 2 ) v1 ) ( <= ( + v2 1 ) v3 ) ),( || ( <= ( + v0 2 ) v1 ) ( <= ( + v2 1 ) v3 ) ),6
5364,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,18
5365,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( + ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 1 ) ),( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ),20
5366,( + ( + ( * v0 8 ) ( + v1 v2 ) ) 0 ),( + ( * v0 8 ) ( + v1 v2 ) ),3
5367,( min ( - ( * ( / v0 128 ) 2 ) 1 ) ( * ( / v0 128 ) 2 ) ),( - ( * ( / v0 128 ) 2 ) 1 ),8
5368,( + ( - ( max v0 0 ) ( max v1 0 ) ) 2 ),( + ( - ( max v0 0 ) ( max v1 0 ) ) 2 ),15
5369,( <= ( + ( / v0 2 ) ( * ( - ( + 0 17 ) 1 ) 8 ) ) ( + ( / v0 2 ) 121 ) ),0,7
5370,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) ),( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ),34
5371,( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ) ),( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ) ),16
5372,( / ( - v0 v1 ) 16 ),( / ( - v0 v1 ) 16 ),3
5373,( / ( - v0 v1 ) 32 ),( / ( - v0 v1 ) 32 ),9
5374,( / ( + ( + v0 v1 ) 126 ) 128 ),( / ( + ( + v0 v1 ) 126 ) 128 ),6
5375,( / ( - ( - v0 v1 ) 1 ) 32 ),( / ( - ( - v0 v1 ) 1 ) 32 ),3
5376,( max ( / v0 2 ) ( / ( + v0 1 ) 2 ) ),( / ( + v0 1 ) 2 ),6
5377,( min ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * 0 8 ) ) ( / ( - ( + v0 v1 ) 98 ) 16 ) ),( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ),14
5378,( - ( * ( % ( / ( + v0 v1 ) 2 ) 4 ) ( + v2 1 ) ) v3 ),( - ( * ( % ( / ( + v0 v1 ) 2 ) 4 ) ( + v2 1 ) ) v3 ),8
5379,( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),16
5380,( + ( - ( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 128 ) 128 ) v3 ) ( - v2 127 ) ) 2 ) 256 ) ) v4 ) ( min ( min ( / ( - ( + ( min v0 256 ) v1 ) 254 ) 4 ) ( - ( min ( / ( + ( min v0 256 ) v1 ) 4 ) ( + ( * ( min ( - v2 127 ) v3 ) 2 ) 63 ) ) 64 ) ) v5 ) ) 1 ),( + ( - ( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 128 ) 128 ) v3 ) ( - v2 127 ) ) 2 ) 256 ) ) v4 ) ( min ( min ( / ( - ( + ( min v0 256 ) v1 ) 254 ) 4 ) ( - ( min ( / ( + ( min v0 256 ) v1 ) 4 ) ( + ( * ( min ( - v2 127 ) v3 ) 2 ) 63 ) ) 64 ) ) v5 ) ) 1 ),16
5381,( + ( - ( + ( min v0 64 ) v1 ) 64 ) 63 ),( - ( + ( min v0 64 ) v1 ) 1 ),4
5382,( - ( * ( + v0 v1 ) ( + v2 1 ) ) v3 ),( - ( * ( + v1 v0 ) ( + v2 1 ) ) v3 ),20
5383,( min ( - ( * v0 2 ) 1 ) ( * ( + 0 v0 ) 2 ) ),( - ( * v0 2 ) 1 ),4
5384,( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v0 v1 ) ) ) 1 ) 1 ),0,8
5385,( - 256 v0 ),( - 256 v0 ),2
5386,( / v0 8 ),( / v0 8 ),6
5387,( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / v1 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ),( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / v1 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ),28
5388,( * ( - ( / v0 2 ) v1 ) v2 ),( * ( - ( / v0 2 ) v1 ) v2 ),3
5389,( max ( + ( * v0 2 ) 16 ) ( * ( + 7 v0 ) 2 ) ),( + ( * v0 2 ) 16 ),6
5390,( - ( * v0 v1 ) v2 ),( - ( * v1 v0 ) v2 ),9
5391,( + ( + ( + ( * v0 2 ) v1 ) 2 ) 0 ),( + ( + ( * v0 2 ) v1 ) 2 ),5
5392,( min ( / v0 8 ) ( / ( + ( / v0 4 ) 1 ) 2 ) ),( / v0 8 ),9
5393,( + ( max ( min ( + v0 ( * 10 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * ( max ( min v3 ( - ( + v4 v5 ) 1 ) ) v5 ) v6 ) ( * ( max ( min ( - ( + v7 v8 ) 1 ) v9 ) v8 ) v10 ) ) ( + ( * v8 v10 ) ( + ( * v5 v6 ) v2 ) ) ) ),( + ( max ( - ( min ( + v0 11 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * ( max ( min ( - ( + v4 v5 ) 1 ) v3 ) v5 ) v6 ) ( * ( max ( min ( - ( + v7 v8 ) 1 ) v9 ) v8 ) v10 ) ) ( + ( * v8 v10 ) ( + ( * v5 v6 ) v2 ) ) ) ),20
5394,( / ( + ( / ( + ( + v0 v1 ) 1 ) 2 ) 1 ) 2 ),( / ( + ( + v0 v1 ) 3 ) 4 ),5
5395,( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ),( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ),4
5396,( max ( + ( * v0 2 ) 2 ) ( - ( * v0 2 ) 1 ) ),( + ( * v0 2 ) 2 ),25
5397,( * v0 ( - ( / ( + ( + v1 v2 ) 1 ) 2 ) v3 ) ),( * ( - ( / ( + ( + v2 v1 ) 1 ) 2 ) v3 ) v0 ),6
5398,( min ( + ( * ( / ( - v0 v1 ) 128 ) 128 ) v1 ) ( - v0 127 ) ),( min ( + ( * ( / ( - v0 v1 ) 128 ) 128 ) v1 ) ( - v0 127 ) ),14
5399,( min ( - ( * ( min ( min ( - ( min v0 v1 ) 63 ) v2 ) v3 ) 2 ) 1 ) ( * ( + 0 ( min ( - v0 63 ) v3 ) ) 2 ) ),( min ( * ( min ( - v0 63 ) v3 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v1 ) 63 ) v2 ) v3 ) 2 ) 1 ) ),9
5400,( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) 1 ) 1 ),0,28
5401,( + ( min ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) ( - v0 31 ) ) 31 ),( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ),15
5402,( + ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 1 ),( + ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / v1 16 ) ) 8 ) 1 ),4
5403,( + 7 ( + ( / v0 2 ) 121 ) ),( + ( / v0 2 ) 128 ),6
5404,( / v0 128 ),( / v0 128 ),5
5405,( max ( max ( + ( * ( max v0 v1 ) 2 ) 2 ) v2 ) v3 ),( max ( max ( + ( * ( max v0 v1 ) 2 ) 2 ) v2 ) v3 ),3
5406,( / ( + ( - ( - ( / ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 2 ) 4 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 2 ) ) 8 ) 8 ),( / ( + ( - ( / ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 2 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 2 ) ) 4 ) 8 ),41
5407,( / ( / v0 2 ) 2 ),( / v0 4 ),19
5408,( / ( + ( min v0 14 ) v1 ) 2 ),( / ( + ( min v0 14 ) v1 ) 2 ),15
5409,( * ( - ( / v0 2 ) v1 ) v2 ),( * ( - ( / v0 2 ) v1 ) v2 ),2
5410,( min ( - ( / ( - v0 194 ) 32 ) v1 ) v2 ),( min ( - ( / ( - v0 194 ) 32 ) v1 ) v2 ),6
5411,( / ( - v0 258 ) 128 ),( / ( - v0 258 ) 128 ),5
5412,( / ( + ( max v0 8 ) 7 ) 8 ),( / ( + ( max v0 8 ) 7 ) 8 ),5
